StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q9_1,Q9_2,Q9_3,Q10_1,Q10_2,Q10_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participation in this study?,Background,Background,Background,Individual Attitude - I like the idea of buying secondhand clothing items,Individual Attitude - Buying secondhand clothing items is a good idea,Individual Attitude - Buying secondhand clothing items is a wise choice,Individual Attitude - Buying secondhand clothing items is beneficial to the environment,Subjective Norm - Most people who are important to me think that I should buy secondhand clothing items,Subjective Norm - Most people who are important to me would want me to purchase secondhand clothing items,Subjective Norm - People whose opinion I value would prefer that I should buy secondhand clothing items,"Perceived Behavioural Control - If I wanted to, I could buy secondhand clothing items instead of fast fashion",Perceived Behavioural Control - I think it is easy for me to buy secondhand clothing items,Perceived Behavioural Control - It is mostly up to me whether or not to buy secondhand clothing items,Perceived Behavioural Control - I am able to buy secondhand clothing items,Perceived Value - The quality of secondhand clothing items is reliable,Perceived Value - Secondhand clothing items offer good value for me,Perceived Value - Secondhand clothing items make me feel good,"Perceived Effectiveness - When I purchase clothing, I try to consider how this will affect the environment",Perceived Effectiveness - It is worth individual consumers to purchase secondhand clothing for the positive impact on society and the environment,Perceived Effectiveness - It is worth individual consumers to do something about climate change,Behavioural Intention - I would like to purchase secondhand clothing items,Behavioural Intention - I would like to visit secondhand clothing shops or websites,Behavioural Intention - I would actively seek out secondhand clothing items in order to purchase them,Behaviour - I frequently purchase secondhand clothing items,Behaviour - I prefer secondhand clothing items to fast fashion items when the product quality is similar,Behaviour - I purchase secondhand clothing even if it is more expensive than fast fashion
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}"
27/07/2021 08:49,27/07/2021 08:56,0,82.132.226.3,100,459,1,27/07/2021 08:56,R_AtBP5GSIOUMiBAR,,,,,51.39970398,-0.251495361,anonymous,EN,1,2,3,1,5,5,5,5,5,5,5,3,2,4,3,2,3,4,4,5,5,5,5,4,1,3,4
28/07/2021 16:12,28/07/2021 16:17,0,90.249.92.26,100,282,1,28/07/2021 16:17,R_1jrJTf81u5oBGJL,,,,,53.80070496,-2.486801147,anonymous,EN,1,2,3,1,3,5,5,5,2,2,2,4,2,4,4,3,3,3,4,5,5,4,4,4,2,4,2
29/07/2021 04:18,29/07/2021 04:22,0,62.249.210.16,100,211,1,29/07/2021 04:22,R_12JXHdHkfYTNIxr,,,,,51.65179443,-0.19329834,anonymous,EN,1,1,3,1,3,4,3,4,2,2,3,3,5,5,5,2,4,3,2,3,4,2,3,2,2,3,1
29/07/2021 05:04,29/07/2021 05:07,0,171.33.195.73,100,133,1,29/07/2021 05:07,R_bgA05PaWcul3ET7,,,,,51.64489746,-0.042999268,anonymous,EN,1,2,1,1,5,5,5,5,2,3,4,5,3,5,4,2,4,5,5,5,5,5,5,4,4,5,4
29/07/2021 05:17,29/07/2021 05:21,0,165.120.84.125,100,257,1,29/07/2021 05:21,R_8CCsMHW724nwJUZ,,,,,55.03489685,-7.27180481,anonymous,EN,1,2,3,1,5,5,5,5,5,5,5,4,2,4,4,4,5,4,3,1,1,5,4,2,2,4,2
29/07/2021 05:29,29/07/2021 05:34,0,148.252.133.64,100,332,1,29/07/2021 05:34,R_0BCAzg1M95iFd7j,,,,,51.49639893,-0.122406006,anonymous,EN,1,2,3,1,3,4,4,4,2,2,2,3,4,5,4,4,5,3,4,4,5,3,3,2,1,4,3
29/07/2021 05:55,29/07/2021 06:00,0,92.237.25.167,100,333,1,29/07/2021 06:00,R_1Li1i9o5oMbYLzF,,,,,51.44299316,-0.329498291,anonymous,EN,1,2,3,1,4,4,4,4,1,1,1,5,5,5,5,5,5,3,4,4,5,1,1,1,1,1,1
29/07/2021 06:07,29/07/2021 06:23,0,90.195.213.249,100,935,1,29/07/2021 06:23,R_2af6lRlGdjB5Seo,,,,,51.477005,-0.195907593,anonymous,EN,1,2,4,1,5,5,5,5,5,5,5,4,5,5,5,4,5,5,3,5,4,5,5,5,5,5,5
29/07/2021 06:08,29/07/2021 06:36,0,89.243.97.96,100,1649,1,29/07/2021 06:36,R_0jlteoV4Yi5OYRH,,,,,51.3999939,-0.25,anonymous,EN,1,2,3,1,4,3,4,5,1,2,2,4,4,5,5,3,4,3,3,4,4,3,3,1,2,3,2
29/07/2021 06:34,29/07/2021 06:39,0,77.97.84.193,100,285,1,29/07/2021 06:39,R_1Hq6627F4wWaMnx,,,,,51.40910339,-0.30909729,anonymous,EN,1,2,3,1,5,5,4,4,4,4,5,5,3,5,5,3,3,5,3,5,5,5,5,5,4,5,3
29/07/2021 06:37,29/07/2021 06:42,0,2.100.84.44,100,303,1,29/07/2021 06:42,R_1pSSSWuddJpE1oV,,,,,51.45129395,-0.289001465,anonymous,EN,1,2,3,1,5,4,4,5,3,3,4,5,5,5,5,5,4,4,3,4,5,4,5,5,4,5,3
29/07/2021 06:42,29/07/2021 06:45,0,79.97.129.64,100,149,1,29/07/2021 06:45,R_Xj4g2n6gTZcPJPr,,,,,53.3381958,-6.259094238,anonymous,EN,1,2,2,1,4,5,5,5,3,2,3,4,2,5,5,4,4,4,4,5,5,5,5,5,4,5,5
29/07/2021 06:49,29/07/2021 06:53,0,77.97.84.193,100,194,1,29/07/2021 06:53,R_1mEMtwFOYtDSFQx,,,,,51.40910339,-0.30909729,anonymous,EN,1,2,1,4,5,5,5,5,4,4,3,5,4,4,5,4,5,5,5,4,5,5,5,5,5,4,4
29/07/2021 08:26,29/07/2021 08:29,0,213.205.194.184,100,152,1,29/07/2021 08:29,R_3fE6mSNOJC9qnQE,,,,,51.34880066,-0.032104492,anonymous,EN,1,2,2,1,5,5,5,5,3,3,3,4,4,5,4,2,4,5,5,5,5,4,4,4,5,5,5
29/07/2021 08:30,29/07/2021 08:37,0,92.234.61.156,100,420,1,29/07/2021 08:37,R_12mbUxglXdaAa0k,,,,,51.52420044,-0.397598267,anonymous,EN,1,1,3,1,5,5,5,5,3,3,3,4,4,5,5,4,5,4,4,5,5,5,5,4,4,4,2
29/07/2021 11:35,29/07/2021 11:40,0,86.137.240.78,100,342,1,29/07/2021 11:40,R_3GeVqWfHrjSJSEB,,,,,50.51060486,-4.314605713,anonymous,EN,1,2,2,1,3,4,3,3,2,2,2,5,5,5,5,1,2,3,4,4,4,4,3,2,2,2,2
29/07/2021 11:36,29/07/2021 11:41,0,86.137.240.78,100,288,1,29/07/2021 11:41,R_1LLqCChTdZJ0zk8,,,,,50.51060486,-4.314605713,anonymous,EN,1,1,2,1,4,4,3,4,2,2,2,5,2,5,5,4,4,3,3,4,4,4,4,2,2,4,2
29/07/2021 14:32,29/07/2021 14:38,0,90.249.92.26,100,360,1,29/07/2021 14:38,R_10UY4EVm1jKwPVY,,,,,54.90010071,-1.421096802,anonymous,EN,1,1,3,1,5,4,3,4,4,4,4,4,2,5,4,3,3,3,4,4,5,4,3,3,1,4,3
30/07/2021 02:07,30/07/2021 02:11,0,80.233.36.225,100,239,1,30/07/2021 02:11,R_2S9aH6rKBnTIXSS,,,,,53.3381958,-6.259094238,anonymous,EN,1,1,2,1,2,4,4,4,2,2,2,4,2,4,4,3,2,1,2,3,4,2,2,2,1,2,1
30/07/2021 04:35,30/07/2021 04:38,0,80.195.222.31,100,159,1,30/07/2021 04:38,R_245W9ilPKMrQWkx,,,,,51.53219604,-0.097900391,anonymous,EN,1,2,1,2,5,5,5,5,4,4,4,4,4,5,5,2,4,4,4,5,5,5,5,4,2,5,3
30/07/2021 04:49,30/07/2021 05:00,0,86.134.146.7,100,621,1,30/07/2021 05:00,R_1kS26yPTnvs0sOs,,,,,51.55380249,-0.310195923,anonymous,EN,1,2,1,1,5,5,3,5,3,3,3,2,1,3,1,2,3,4,5,5,4,5,5,3,3,4,3
30/07/2021 05:06,30/07/2021 05:09,0,92.234.61.156,100,150,1,30/07/2021 05:09,R_2tDJyzR1mXHVYrF,,,,,51.52420044,-0.397598267,anonymous,EN,1,1,1,1,5,5,5,4,3,3,3,5,4,5,5,4,5,4,4,3,3,5,5,5,3,5,1
30/07/2021 05:32,30/07/2021 05:37,0,86.179.108.176,100,268,1,30/07/2021 05:37,R_3FQEyreK3zcXD1x,,,,,51.45129395,-0.289001465,anonymous,EN,1,2,3,3,3,5,5,5,2,2,2,5,5,5,5,5,5,5,3,5,5,3,3,3,3,3,3
30/07/2021 06:00,30/07/2021 06:04,0,213.205.198.124,100,257,1,30/07/2021 06:04,R_UbdS6PnTH1OrPSF,,,,,51.55709839,-0.297195435,anonymous,EN,1,2,1,2,5,5,5,5,3,2,3,5,2,5,5,4,4,5,2,5,4,5,5,5,4,5,2
30/07/2021 06:01,30/07/2021 06:05,0,82.41.99.171,100,262,1,30/07/2021 06:05,R_xz7zRL38sxs2miJ,,,,,51.46740723,-0.355606079,anonymous,EN,1,2,1,3,4,5,4,5,3,2,2,5,4,5,5,2,4,4,2,4,5,4,5,2,2,4,1
30/07/2021 06:05,30/07/2021 06:09,0,148.252.132.20,100,193,1,30/07/2021 06:09,R_1gV1zbLyukj1msk,,,,,51.49639893,-0.122406006,anonymous,EN,1,2,1,1,4,4,4,5,3,2,3,2,2,5,2,3,2,3,4,4,4,5,5,3,2,4,4
30/07/2021 06:12,30/07/2021 06:15,0,85.255.236.212,100,202,1,30/07/2021 06:15,R_3NWc5QxpLsJ6umE,,,,,51.49639893,-0.122406006,anonymous,EN,1,2,1,1,4,5,5,5,3,3,3,4,3,5,4,3,4,3,4,5,5,4,3,3,3,4,4
30/07/2021 06:34,30/07/2021 06:36,0,90.212.23.132,100,153,1,30/07/2021 06:36,R_UsYmAzy0q53N1N7,,,,,55.91529846,-3.197692871,anonymous,EN,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,4,3
30/07/2021 06:38,30/07/2021 06:45,0,86.153.204.241,100,424,1,30/07/2021 06:45,R_vuTDAoXBesnXjgJ,,,,,51.32569885,-0.097595215,anonymous,EN,1,1,1,1,5,5,5,5,4,4,4,4,5,4,5,2,2,5,3,5,4,5,5,5,4,5,4
30/07/2021 07:49,30/07/2021 07:51,0,87.80.133.13,100,112,1,30/07/2021 07:51,R_R2YKrRddMQPCXHr,,,,,51.5493927,-0.366394043,anonymous,EN,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
30/07/2021 08:01,30/07/2021 08:05,0,85.255.235.97,100,265,1,30/07/2021 08:05,R_2XpzyZDlbzsB8eL,,,,,51.49639893,-0.122406006,anonymous,EN,1,2,3,1,4,1,4,5,2,2,3,4,5,5,5,3,3,2,3,4,5,3,2,2,2,1,1
30/07/2021 08:12,30/07/2021 08:14,0,77.101.107.184,100,174,1,30/07/2021 08:14,R_1OOCHvxc717bmQU,,,,,51.86590576,-2.2059021,anonymous,EN,1,2,1,1,5,5,5,5,4,3,2,4,5,5,5,4,5,5,4,5,5,4,4,4,5,3,2
30/07/2021 08:15,30/07/2021 08:24,0,85.255.237.57,100,555,1,30/07/2021 08:24,R_3EWkXr2TcisaRts,,,,,51.49639893,-0.122406006,anonymous,EN,1,2,2,1,5,5,5,5,4,4,4,4,4,5,4,3,3,3,2,4,5,4,4,2,2,4,1
30/07/2021 09:29,30/07/2021 09:34,0,86.17.179.41,100,270,1,30/07/2021 09:34,R_9o96vOxmoTmobex,,,,,53.39329529,-2.133605957,anonymous,EN,1,2,3,1,5,5,5,5,4,2,2,5,5,5,5,5,5,4,3,5,5,4,4,3,2,3,1
30/07/2021 09:45,30/07/2021 09:52,0,81.103.147.139,100,401,1,30/07/2021 09:52,R_suTcAoq21RBsSLD,,,,,51.42120361,-0.285507202,anonymous,EN,1,2,3,1,3,4,4,5,3,3,3,4,4,4,5,5,5,4,2,4,4,3,4,2,2,4,2
30/07/2021 11:39,30/07/2021 11:42,0,86.138.57.252,100,159,1,30/07/2021 11:42,R_BAqp2ENwaPEZvy1,,,,,51.52589417,-0.322906494,anonymous,EN,1,2,1,1,5,5,5,5,4,4,4,5,4,5,5,2,4,4,5,5,5,5,5,5,4,5,3
30/07/2021 11:59,30/07/2021 12:04,0,82.29.235.179,100,271,1,30/07/2021 12:04,R_OjutqLemI6kDxYt,,,,,53.41589355,-2.184295654,anonymous,EN,1,2,3,1,4,4,4,5,1,1,1,5,5,5,5,4,4,4,2,4,5,4,4,4,2,4,2
31/07/2021 03:27,31/07/2021 03:31,0,81.97.70.114,100,235,1,31/07/2021 03:31,R_yOxdQppjC8FCeZj,,,,,53.41419983,-2.227996826,anonymous,EN,1,1,3,1,5,5,5,5,3,4,3,4,3,5,3,3,3,3,3,5,5,5,5,5,1,4,1
31/07/2021 04:15,31/07/2021 04:24,0,202.152.70.17,100,548,1,31/07/2021 04:24,R_1JXePzdHaAuHKhI,,,,,4.881698608,114.9359131,anonymous,EN,1,1,3,1,4,5,5,5,5,5,5,1,2,2,2,4,3,5,4,5,5,5,4,4,2,4,1
31/07/2021 04:23,31/07/2021 04:27,0,84.69.175.168,100,221,1,31/07/2021 04:27,R_2YahRvkKJejqPBl,,,,,55.86700439,-4.305603027,anonymous,EN,1,2,3,1,5,5,5,5,3,3,2,5,4,5,5,4,5,4,3,4,5,5,5,4,4,3,1
31/07/2021 04:25,31/07/2021 04:35,0,165.120.84.125,100,606,1,31/07/2021 04:35,R_tJUNCWHqNKrpThf,,,,,55.03489685,-7.27180481,anonymous,EN,1,1,4,1,5,4,5,5,3,4,3,4,3,3,3,4,5,4,3,4,5,4,3,4,1,4,1
31/07/2021 04:28,31/07/2021 04:37,0,94.2.194.153,100,535,1,31/07/2021 04:37,R_1gvhLhnj4TZuI9n,,,,,52.13589478,-2.211700439,anonymous,EN,1,2,3,1,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31/07/2021 05:01,31/07/2021 05:07,0,188.221.229.204,100,334,1,31/07/2021 05:07,R_yUOroq3KqEBeOpX,,,,,51.43269348,-0.169296265,anonymous,EN,1,1,3,2,3,3,3,4,2,2,3,4,3,3,3,3,3,2,2,3,4,3,2,2,1,2,2
31/07/2021 05:01,31/07/2021 05:11,0,95.145.30.241,100,588,1,31/07/2021 05:11,R_2WPBZbRCBvsJsez,,,,,57.61010742,-3.617599487,anonymous,EN,1,2,3,1,4,5,5,5,3,3,3,2,2,1,1,4,3,3,4,4,4,4,3,3,2,4,1
31/07/2021 05:07,31/07/2021 05:12,0,80.233.56.120,100,289,1,31/07/2021 05:12,R_u98uxPYLediUONb,,,,,53.3381958,-6.259094238,anonymous,EN,1,2,1,1,4,4,4,4,3,2,3,4,3,4,4,3,3,4,3,3,5,4,4,3,3,3,3
31/07/2021 05:16,31/07/2021 05:23,0,80.6.108.114,100,409,1,31/07/2021 05:23,R_1l3mk9oxfVv8BjJ,,,,,51.51800537,-0.045898438,anonymous,EN,1,2,1,1,5,4,4,4,3,3,3,4,5,4,5,3,5,5,5,5,5,5,5,5,5,3,5
31/07/2021 05:25,31/07/2021 05:29,0,86.132.221.140,100,192,1,31/07/2021 05:29,R_3GkWwDCa57R9bLA,,,,,57.44380188,-3.172698975,anonymous,EN,1,2,4,1,4,5,5,4,2,3,3,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5
31/07/2021 05:31,31/07/2021 05:34,0,92.1.236.157,100,204,1,31/07/2021 05:34,R_33jwE1sArVO0dAj,,,,,54.86090088,-6.281906128,anonymous,EN,1,2,3,1,4,5,4,5,3,3,3,4,4,5,5,4,4,4,4,5,5,5,5,3,4,5,5
31/07/2021 06:04,31/07/2021 06:08,0,173.63.25.198,100,215,1,31/07/2021 06:08,R_1OrfP7fNA45ClYL,,,,,40.77870178,-74.60030365,anonymous,EN,1,2,3,1,2,3,2,3,2,3,2,5,4,5,5,2,2,2,1,3,4,2,4,2,2,2,2
28/07/2021 15:52,31/07/2021 06:27,0,92.40.168.118,100,225321,1,31/07/2021 06:27,R_2UavOUbRjCPWfRE,,,,,51.49639893,-0.122406006,anonymous,EN,1,2,3,1,1,5,4,5,3,3,3,4,5,5,5,3,1,1,1,5,5,3,2,1,1,1,1
31/07/2021 06:24,31/07/2021 06:28,0,174.206.235.220,100,230,1,31/07/2021 06:28,R_1mwQKlI0Z8HRl9e,,,,,40.74180603,-74.22360229,anonymous,EN,1,1,3,1,4,4,3,5,3,3,3,5,3,5,5,3,3,3,3,5,5,3,3,3,1,3,1
31/07/2021 07:27,31/07/2021 07:41,0,202.152.70.148,100,803,1,31/07/2021 07:41,R_2YVdRbAxD5LZEAH,,,,,4.881698608,114.9359131,anonymous,EN,1,2,3,3,2,3,3,4,1,2,2,5,5,5,5,1,3,2,3,3,5,1,2,1,2,3,1
31/07/2021 08:32,31/07/2021 08:36,0,86.162.140.51,100,198,1,31/07/2021 08:36,R_1BQwIAtTShz24KV,,,,,51.45129395,-0.289001465,anonymous,EN,1,2,3,3,3,3,3,5,3,3,4,5,4,5,5,3,4,3,3,4,5,4,3,3,1,3,3
31/07/2021 09:30,31/07/2021 09:35,0,86.178.176.175,100,268,1,31/07/2021 09:35,R_3EtEAYjyaDbzxK0,,,,,57.61010742,-3.617599487,anonymous,EN,1,2,4,1,5,5,5,5,2,2,3,4,2,4,4,4,4,3,4,5,5,4,4,4,2,4,2
31/07/2021 09:41,31/07/2021 09:43,0,86.191.83.131,100,127,1,31/07/2021 09:43,R_2aQWSgsYGb6FCs6,,,,,57.61010742,-3.617599487,anonymous,EN,1,2,4,1,5,5,5,5,2,2,2,5,1,5,5,4,5,1,4,5,5,5,1,5,1,5,5
31/07/2021 10:05,31/07/2021 10:09,0,92.2.200.187,100,222,1,31/07/2021 10:09,R_W7JRFigOHP9BaXT,,,,,51.37240601,1.156097412,anonymous,EN,1,1,3,1,5,5,5,4,3,3,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,5,2
31/07/2021 12:27,31/07/2021 12:30,0,86.156.191.210,100,220,1,31/07/2021 12:30,R_DFTD9vCVRywWe6l,,,,,55.01669312,-6.666702271,anonymous,EN,1,2,3,1,2,2,2,2,3,3,3,5,5,4,5,3,2,2,3,4,4,1,1,1,1,1,1
31/07/2021 12:44,31/07/2021 12:46,0,82.132.184.129,100,127,1,31/07/2021 12:46,R_3KwhmguEFCEAnYc,,,,,54.97349548,-1.567306519,anonymous,EN,1,2,3,1,5,5,5,5,3,3,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
31/07/2021 22:15,31/07/2021 22:21,0,209.121.59.75,100,315,1,31/07/2021 22:21,R_2fjIdQFrBKt9HyC,,,,,49.20300293,-122.9914017,anonymous,EN,1,2,3,1,3,4,3,4,3,3,3,3,3,5,3,2,3,3,2,4,5,3,4,3,1,3,1
31/07/2021 23:34,31/07/2021 23:41,0,61.6.232.44,100,398,1,31/07/2021 23:41,R_3oHFJUsPInlPnen,,,,,4.881698608,114.9359131,anonymous,EN,1,2,3,1,5,5,5,5,3,3,3,2,2,5,2,4,4,4,3,5,5,5,5,3,1,4,2
01/08/2021 00:14,01/08/2021 00:16,0,2.125.105.26,100,120,1,01/08/2021 00:16,R_0NbMM7MAlp8PokN,,,,,51.50740051,-0.070098877,anonymous,EN,1,2,1,4,5,5,5,5,3,3,3,5,4,5,5,4,5,4,4,5,5,5,5,5,4,5,4
01/08/2021 04:00,01/08/2021 04:03,0,86.180.2.169,100,227,1,01/08/2021 04:04,R_3iKyuPkHWPItzKU,,,,,57.49029541,-3.90020752,anonymous,EN,1,2,3,1,5,5,5,5,2,2,2,4,4,5,4,3,5,5,4,5,5,5,5,4,4,5,2
01/08/2021 06:42,01/08/2021 06:44,0,90.215.17.174,100,141,1,01/08/2021 06:44,R_1LZImYPZBs8splD,,,,,51.5039978,-0.360900879,anonymous,EN,1,2,3,1,5,5,5,5,3,3,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
01/08/2021 10:04,01/08/2021 10:11,0,86.153.204.241,100,396,1,01/08/2021 10:11,R_22mL5mMyd2JSYzV,,,,,51.32569885,-0.097595215,anonymous,EN,1,2,4,1,2,5,4,5,2,1,4,5,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4
01/08/2021 12:25,01/08/2021 12:29,0,86.175.59.231,100,251,1,01/08/2021 12:29,R_7NEnlqSEJC5Zs4x,,,,,51.3999939,-0.25,anonymous,EN,1,1,3,1,2,2,3,2,2,1,2,2,3,4,2,2,2,3,2,3,4,2,2,1,1,1,1
02/08/2021 10:15,02/08/2021 10:18,0,94.192.27.204,100,190,1,02/08/2021 10:18,R_3oBMfOCrqiv6x61,,,,,51.6000061,-0.216705322,anonymous,EN,1,2,3,1,5,4,4,5,2,2,2,5,4,5,5,4,5,4,2,4,4,4,5,2,2,4,2
03/08/2021 06:27,03/08/2021 06:31,1,,100,258,1,03/08/2021 06:31,R_XXoVbj1h4Yz85Xz,,,,,51.52420044,-0.397598267,preview,EN,1,2,1,4,3,4,4,4,3,3,3,3,4,5,4,2,2,4,3,4,4,4,5,3,3,3,1
03/08/2021 06:40,03/08/2021 06:44,0,45.133.182.150,100,261,1,03/08/2021 06:44,R_3iKLJplkK46x70m,,,,,45.49940491,-73.57029724,anonymous,EN,1,3,2,3,5,5,5,5,4,4,3,4,3,4,4,3,5,5,3,4,5,5,5,5,4,4,4
03/08/2021 07:26,03/08/2021 07:29,0,103.156.50.154,100,190,1,03/08/2021 07:29,R_1P1673emesp5495,,,,,19.07479858,72.88560486,anonymous,EN,1,1,3,3,5,5,5,5,2,2,2,2,2,2,2,2,2,5,4,5,5,5,5,5,1,5,1
04/08/2021 03:53,04/08/2021 03:55,0,92.234.61.156,100,165,1,04/08/2021 03:55,R_eIEICVqY3c85PRT,,,,,51.52420044,-0.397598267,anonymous,EN,1,2,1,4,4,3,3,4,2,3,2,2,2,5,4,1,2,3,2,4,4,4,4,2,2,3,1
04/08/2021 10:36,04/08/2021 10:38,0,82.132.245.49,100,146,1,04/08/2021 10:38,R_2w0Q7KViCoKEmzj,,,,,53.49940491,-2.243301392,anonymous,EN,1,2,1,1,5,5,5,5,4,4,4,5,5,5,5,4,5,4,3,5,5,5,5,4,4,4,3
04/08/2021 15:15,04/08/2021 15:22,0,82.68.5.198,100,408,1,04/08/2021 15:22,R_bqQSXE9ptVsh9eh,,,,,54.76989746,-1.559005737,anonymous,EN,1,2,1,3,5,5,5,5,5,5,5,4,4,5,4,4,5,5,4,5,5,5,5,5,4,5,5
29/07/2021 05:50,29/07/2021 05:52,0,82.132.236.23,83,114,0,05/08/2021 05:52,R_yOp90s29vQqAno5,,,,,,,anonymous,EN,1,2,2,1,5,5,5,5,2,2,2,5,4,5,4,3,4,4,5,5,5,5,4,5,4,5,5
29/07/2021 06:09,29/07/2021 06:11,0,213.205.241.22,42,136,0,05/08/2021 06:11,R_1jNifl9ofgyVcyH,,,,,,,anonymous,EN,1,2,3,1,5,5,5,5,3,3,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
29/07/2021 06:18,29/07/2021 06:19,0,92.40.202.234,42,30,0,05/08/2021 06:19,R_3LhhKOFYxVmEcWy,,,,,,,anonymous,EN,1,2,1,4,4,3,3,4,2,3,2,2,2,5,4,1,2,3,2,4,4,4,4,2,2,3,1
29/07/2021 15:54,29/07/2021 15:54,0,86.17.85.130,17,22,0,05/08/2021 15:54,R_2EAVVXRV8RFogXy,,,,,,,anonymous,EN,1,1,1,2,3,3,3,4,2,2,3,4,3,3,3,3,3,2,2,3,4,3,2,2,1,2,2
06/08/2021 13:36,06/08/2021 13:38,0,83.137.6.249,100,168,1,06/08/2021 13:38,R_pKOxX592rTJtbuV,,,,,51.58340454,-0.075500488,anonymous,EN,1,2,1,3,2,4,2,4,1,1,1,5,2,5,5,2,5,2,5,3,4,1,1,1,1,1,1
31/07/2021 00:12,31/07/2021 00:17,0,90.208.254.33,42,302,0,07/08/2021 00:17,R_3Ny3Q75qmdNZaqy,,,,,,,anonymous,EN,1,2,4,1,2,5,4,5,2,1,4,5,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,1,1,1,2,5,4,4,5,2,1,3,2,3,2,2,2,2,3,2,2,3,2,2,1,4,2,1
,,,,,,,,,,,,,,,,,1,1,1,2,3,4,4,4,2,2,3,2,2,1,3,4,5,4,2,2,3,4,5,2,4,2,1
,,,,,,,,,,,,,,,,,1,2,3,2,3,5,5,5,3,3,2,3,2,1,2,2,2,4,2,2,2,4,5,3,4,1,2
,,,,,,,,,,,,,,,,,1,1,4,2,4,5,5,5,4,2,2,2,3,3,1,3,5,5,2,3,2,5,5,5,3,2,1
,,,,,,,,,,,,,,,,,1,1,1,3,4,3,3,4,2,3,4,2,2,2,2,2,2,5,3,2,1,5,5,5,3,3,4
,,,,,,,,,,,,,,,,,1,1,1,3,4,5,5,5,3,3,5,3,3,1,2,1,2,3,2,1,3,4,4,2,2,3,1
,,,,,,,,,,,,,,,,,1,1,2,4,5,5,5,5,2,5,2,2,2,2,3,4,5,4,3,3,2,5,5,4,2,5,1
,,,,,,,,,,,,,,,,,1,2,3,3,5,5,2,5,2,2,3,2,2,2,2,4,4,5,2,2,2,5,4,5,3,4,3
,,,,,,,,,,,,,,,,,1,1,4,4,3,3,4,4,1,3,2,3,2,3,2,3,5,3,2,2,2,5,2,5,4,5,5
,,,,,,,,,,,,,,,,,1,1,1,2,5,3,4,4,2,3,3,2,1,2,2,4,2,2,1,2,1,3,1,2,2,5,5
,,,,,,,,,,,,,,,,,1,2,1,3,4,4,4,4,1,3,1,2,3,1,3,1,3,2,2,3,3,2,4,2,2,4,2
